role,geo,keyword,translation,rpc,rpcBand,rpcOrClass,pattern,donor,plannerVolume,plannerDeltaPct,status,note,source
донор (все гео),IT,Prestito Piccolo,небольшой заём,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Prestito 1500,заём 1500,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Piccolo Prestito con Accredito Immediato,небольшой заём с мгновенным зачислением,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Prestito Piccolo Mobile 1000,"небольшой заём с телефона, 1000",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Prestito 3.000 Euro,заём 3 000 евро,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Ho Bisogno Di un Prestito Urgente,мне срочно нужен заём,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Prestito Immediato 3000 Euro,мгновенный заём 3000 евро,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Prestito Piccolo Importo,заём на небольшую сумму,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Prestito 2000€,заём 2000 €,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Prestito 5.000 Euro Immediato,мгновенный заём 5 000 евро,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),IT,Prestito 2000 Euro,заём 2000 евро,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords IT_1 (24.09)
донор (все гео),LT,Greita Paysera Paskola be Pajamų,быстрый кредит Paysera без дохода,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paskola be Dokumentų Šiandien,кредит без документов сегодня,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),MX,Credito Pyme Bancomer,кредит для малого бизнеса Bancomer,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords MX_1 (24.09)
донор (все гео),NL,Lening Aanvraag,заявка на кредит,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords NL_1 (24.09)"
донор (все гео),PL,Telewizor na Raty Bez Banku,телевизор в рассрочку без банка,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Telewizor na Prywatne Raty,телевизор в частную рассрочку,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Telewizor na Raty na Dowód,телевизор в рассрочку по паспорту,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Samochod na Raty,машина в рассрочку,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Auto na Raty Bez Wpłaty Własnej,машина в рассрочку без первого взноса,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Auto na Prywatne Raty,машина в частную рассрочку,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PT,Crédito 1.500€ em 30 Minutos Mb Way Portugal,"кредит 1500 € за 30 минут через MB Way, Португалия",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PT_1 (24.09)"
донор (все гео),PT,Crédito Online Imediato,кредит онлайн мгновенно,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PT_1 (24.09)"
донор (все гео),PT,Empréstimo 1.000€ com Transferência Mb Way em 1 Hora,заём 1000 € переводом MB Way за час,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PT_1 (24.09)"
донор (все гео),PT,Empréstimo Crédito Pessoal,"заём, личный кредит",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PT_1 (24.09)"
донор (все гео),PT,Empréstimo Online 3.000€ Mb Way Sem Recibo,онлайн-заём 3000 € MB Way без справки,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PT_1 (24.09)"
донор (все гео),PT,Empréstimo Online MB WAY,онлайн-заём через MB Way,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PT_1 (24.09)"
донор (все гео),PT,Empréstimo Rápido 300€ Mb Way Decisão em 5 Minutos,"быстрый заём 300 € MB Way, решение за 5 минут",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PT_1 (24.09)"
донор (все гео),PT,Empréstimo Rápido MB WAY,быстрый заём через MB Way,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PT_1 (24.09)"
донор (все гео),PT,Emprestimo Online em 5 Minutos,кредит онлайн за 5 минут,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PT,MB WAY Crédito Pessoal,потребкредит через MB WAY,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords PT_1 (24.09)
донор (все гео),RO,Am Nevoie de Bani Urgent Azi,срочно нужны деньги сегодня,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),RO,Am+nevoie+de+bani+urgent+azi,срочно нужны деньги сегодня,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),RO,Credit Doar Cu Cnp,кредит только по личному номеру,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Credit Online Rapid Pe Card,быстрый кредит онлайн на карту,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Credit Online Urgent,срочный кредит онлайн,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Credit Rapid,быстрый кредит,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Credit Rapid Direct Pe Card,быстрый кредит сразу на карту,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Credit Rapid Online,быстрый кредит онлайн,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Credit Urgent Azi,срочный кредит сегодня,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),RO,Credite Online Doar Cu Buletinul,кредиты онлайн только по паспорту,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),RO,Imprumut Nevoi Personale,заём на личные нужды,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Imprumut Urgent 1000 Euro,срочный заём 1000 евро,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),RO,Nevoie Urgenta de Bani,срочная нужда в деньгах,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),RO,Romania Personal Credit,потребительский кредит Румыния,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords RO_1 (24.09)"
донор (все гео),RO,Instant Loan Online,мгновенный кредит онлайн,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),RO,Proteza Dentara Totala Pret,"полный зубной протез, цена",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),RO,Dantura Fixa in 24 Ore Pret,"несъёмные зубы за 24 часа, цена",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
перевод под DE,DE,Sofortkredit,срочный кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",9900,-18,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit mit Sofortauszahlung,кредит с мгновенной выплатой,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",2900,-19,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Online Kredit sofort,онлайн-кредит сразу,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",5400,-46,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Minikredit sofort,мини-кредит сразу,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",4400,23,ok,Meta: payday и займы ≤90 дней запрещены (transparency.meta.com) — в крео не обещать срок «до зарплаты»,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Sofortkredit Ohne Ablehnung,срочный кредит без отказа,,high,"класс «высокий», без rpc (другие команды)",«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",,,ограничено,"Planner: строки нет (объём не показан); Meta: высокий риск — обещание «без проверки / всем» (решает владелец); ключ — только в статье, в крео «ohne Ablehnung» не писать",research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Ich Brauche Sofort Geld,мне срочно нужны деньги,,high,"класс «высокий», без rpc (другие команды)",«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",,,ok,Planner: строки нет (объём не показан); Meta: зона Personal hardship (долги/нужда) — домен могут ограничить по событиям,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Ich Brauche Jetzt Sofort Geld,мне прямо сейчас срочно нужны деньги,,high,"класс «высокий», без rpc (другие команды)",«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",,,ok,Planner: строки нет (объём не показан); Meta: зона Personal hardship (долги/нужда) — домен могут ограничить по событиям,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Sofortkredit 5000€,срочный кредит 5000 €,,mid,"класс «средний», без rpc (другие команды)",«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",,,ok,Planner: строки нет (объём не показан),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit 10000 Euro,кредит 10 000 евро,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",3600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kreditvergleich,сравнение кредитов,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",40500,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Targobank Kredit,кредит Targobank,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",33100,0,ok,"бренд банка — только в статье (сравнение), логотип в крео нельзя",research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Baufinanzierungsrechner,калькулятор ипотеки,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",33100,22,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Minikredit,мини-кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«небольшая сумма сразу»,"HU «Kis Összegű Kölcsön Azonnal» $0.386 (наш, 32 кл.); AT «Mini Kredit Österreich» — высокий (другие)",8100,0,ok,Meta: payday и займы ≤90 дней запрещены (transparency.meta.com) — в крео не обещать срок «до зарплаты»,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kleinkredit,небольшой кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«небольшая сумма сразу»,"HU «Kis Összegű Kölcsön Azonnal» $0.386 (наш, 32 кл.); AT «Mini Kredit Österreich» — высокий (другие)",9900,-18,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kleinkredit sofort,небольшой кредит сразу,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«небольшая сумма сразу»,"HU «Kis Összegű Kölcsön Azonnal» $0.386 (наш, 32 кл.); AT «Mini Kredit Österreich» — высокий (другие)",4400,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Mini Kredit,мини-кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«небольшая сумма сразу»,"HU «Kis Összegű Kölcsön Azonnal» $0.386 (наш, 32 кл.); AT «Mini Kredit Österreich» — высокий (другие)",5400,0,ok,Meta: payday и займы ≤90 дней запрещены (transparency.meta.com) — в крео не обещать срок «до зарплаты»,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Rentner,кредит для пенсионеров,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«60+ / пенсия»,"LT «Paskolos Vyresniems Nei 60» $0.297 (наш, 211 кл.); статья-шаблон «кредит пенсионеру»: AT $0.372 (334 кл., 01.07–23.09), CH-de $2.43 (6 кл., 22–23.09)",1900,19,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit mit Rente,кредит с пенсией,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«60+ / пенсия»,"LT «Paskolos Vyresniems Nei 60» $0.297 (наш, 211 кл.); статья-шаблон «кредит пенсионеру»: AT $0.372 (334 кл., 01.07–23.09), CH-de $2.43 (6 кл., 22–23.09)",1900,19,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Rentner Kredit,пенсионный кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«60+ / пенсия»,"LT «Paskolos Vyresniems Nei 60» $0.297 (наш, 211 кл.); статья-шаблон «кредит пенсионеру»: AT $0.372 (334 кл., 01.07–23.09), CH-de $2.43 (6 кл., 22–23.09)",1900,19,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit als Rentner,"кредит, будучи пенсионером",,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«60+ / пенсия»,"LT «Paskolos Vyresniems Nei 60» $0.297 (наш, 211 кл.); статья-шаблон «кредит пенсионеру»: AT $0.372 (334 кл., 01.07–23.09), CH-de $2.43 (6 кл., 22–23.09)",1900,19,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Privatkredit,потребительский кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),18100,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Ratenkredit,кредит в рассрочку,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),4400,-19,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit aufnehmen,взять кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),18100,-18,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Online Kredit beantragen,оформить онлайн-кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),4400,0,ok,в CH у других — высокий,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit beantragen,подать заявку на кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),5400,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit ohne Schufa,кредит без проверки SCHUFA,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«без справок / только по паспорту»,"RO «Credite Instant Doar Cu Buletinul» $0.210 (наш, 27 кл.); EE «Väike Laen Ilma Sissetuleku» — средний (другие)",49500,0,ограничено,"Meta: высокий риск — обещание «без проверки / всем» (решает владелец); в DE законно (кредиты банков без запроса в SCHUFA), в крео — только вопросом",research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Sofortkredit ohne Schufa,срочный кредит без SCHUFA,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«без справок / только по паспорту»,"RO «Credite Instant Doar Cu Buletinul» $0.210 (наш, 27 кл.); EE «Väike Laen Ilma Sissetuleku» — средний (другие)",6600,0,ограничено,Meta: высокий риск — обещание «без проверки / всем» (решает владелец),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kleinkredit ohne Schufa,небольшой кредит без SCHUFA,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«без справок / только по паспорту»,"RO «Credite Instant Doar Cu Buletinul» $0.210 (наш, 27 кл.); EE «Väike Laen Ilma Sissetuleku» — средний (другие)",6600,0,ограничено,Meta: высокий риск — обещание «без проверки / всем» (решает владелец),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit ohne Bonitätsprüfung,кредит без проверки платёжеспособности,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«без справок / только по паспорту»,"RO «Credite Instant Doar Cu Buletinul» $0.210 (наш, 27 кл.); EE «Väike Laen Ilma Sissetuleku» — средний (другие)",3600,0,ограничено,Meta: высокий риск — обещание «без проверки / всем» (решает владелец),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kreditkarte mit Ratenzahlung 5.000 Euro,кредитка с рассрочкой на 5 000 €,,high,"класс «высокий», без rpc (другие команды)",«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",,,ok,Planner: строки нет (объём не показан),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Beste Kreditkarte mit Ratenzahlung,лучшая кредитка с рассрочкой,,high,"класс «высокий», без rpc (другие команды)",«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",,,ok,Planner: строки нет (объём не показан),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Online Kreditkarte Sofort,онлайн-кредитка сразу,,high,"класс «высокий», без rpc (другие команды)",«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",,,ok,Planner: строки нет (объём не показан),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kostenlose Kreditkarte Beantragen,оформить бесплатную кредитку,,high,"класс «высокий», без rpc (другие команды)",«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",480,23,ok,«kostenlos» в крео не писать (Google RAF «Free or cash offers»),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kreditkarte mit 5000 Verfügungsrahmen,кредитка с лимитом 5 000,,mid,"класс «средний», без rpc (другие команды)",«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",,,ok,Planner: строки нет (объём не показан),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kostenlose Kreditkarte,бесплатная кредитка,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",14800,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kreditkarte ohne Schufa,кредитка без SCHUFA,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",9900,-18,ограничено,Meta: высокий риск — обещание «без проверки / всем» (решает владелец),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kreditkarte mit Ratenzahlung,кредитка с рассрочкой,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",1600,-16,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Verschuldete,кредит для должников,,high,"класс «высокий», без rpc (другие команды)",«должникам / перекредитование»,"DE «Kredit für Verschuldete» — высокий (другие); LT «Paskolos Skolininkams», PL «Kredyt Konsolidacyjny Dla Zadłużonych…» — средний (другие)",,,ok,Planner: строки нет (объём не показан); Meta: зона Personal hardship (долги/нужда) — домен могут ограничить по событиям,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit umschulden,перекредитовать кредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«должникам / перекредитование»,"DE «Kredit für Verschuldete» — высокий (другие); LT «Paskolos Skolininkams», PL «Kredyt Konsolidacyjny Dla Zadłużonych…» — средний (другие)",6600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Umschuldung,кредит на перекредитование,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«должникам / перекредитование»,"DE «Kredit für Verschuldete» — высокий (другие); LT «Paskolos Skolininkams», PL «Kredyt Konsolidacyjny Dla Zadłużonych…» — средний (другие)",6600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Umschuldung,перекредитование,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«должникам / перекредитование»,"DE «Kredit für Verschuldete» — высокий (другие); LT «Paskolos Skolininkams», PL «Kredyt Konsolidacyjny Dla Zadłużonych…» — средний (другие)",3600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Umschuldungskredit,кредит для перекредитования,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«должникам / перекредитование»,"DE «Kredit für Verschuldete» — высокий (другие); LT «Paskolos Skolininkams», PL «Kredyt Konsolidacyjny Dla Zadłużonych…» — средний (другие)",2900,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Beste Bank für Umschuldung,лучший банк для перекредитования,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«должникам / перекредитование»,"DE «Kredit für Verschuldete» — высокий (другие); LT «Paskolos Skolininkams», PL «Kredyt Konsolidacyjny Dla Zadłużonych…» — средний (другие)",1600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Autokredit,автокредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«авто без взноса / в месяц»,"FR «Financement Voiture Sans Apport 2026», «Voiture 99 Euros par Mois Sans Apport 2026» — средний (другие, 7 ключей)",27100,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Autokredit Vergleich,сравнение автокредитов,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«авто без взноса / в месяц»,"FR «Financement Voiture Sans Apport 2026», «Voiture 99 Euros par Mois Sans Apport 2026» — средний (другие, 7 ключей)",6600,22,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
